Tactic,"Tactic_Total",Technique,"Technique_Total",Active,Available,"Needs data"
"Adversary OPSEC",4,"",20,0,0,1
"Adversary OPSEC",4,"Dynamic DNS",6,0,0,2
"Adversary OPSEC",4,"Standard Application Layer Protocol",5,0,0,1
Collection,20,"Commonly Used Port",31,0,2,0
Collection,20,"Data Staged",2,0,0,2
Collection,20,"Email Collection",2,0,1,1
Collection,20,None,201,0,0,14
"Command and Control",29,"",20,0,0,1
"Command and Control",29,"Commonly Used Port",31,0,1,9
"Command and Control",29,"Dynamic DNS",6,0,0,2
"Command and Control",29,"Exfiltration Over Alternative Protocol",6,0,1,2
"Command and Control",29,"Exfiltration Over Command and Control Channel",4,0,0,1
"Command and Control",29,None,201,0,1,7
"Command and Control",29,"Standard Application Layer Protocol",5,0,0,2
"Command and Control",29,"Standard Non-Application Layer Protocol",1,0,1,0
"Command and Control",29,"Web Service",2,0,0,1
"Credential Access",34,"",20,0,0,2
"Credential Access",34,"Account Manipulation",3,0,0,1
"Credential Access",34,"Commonly Used Port",31,0,1,0
"Credential Access",34,"Credential Dumping",3,0,0,3
"Credential Access",34,"Network Sniffing",1,0,0,1
"Credential Access",34,None,201,0,0,24
"Credential Access",34,"Remote Desktop Protocol",4,0,0,1
"Credential Access",34,"Valid Accounts",11,0,0,1
"Defense Evasion",59,"",20,0,0,2
"Defense Evasion",59,"Command-Line Interface",21,0,0,3
"Defense Evasion",59,"Commonly Used Port",31,0,0,4
"Defense Evasion",59,"Disabling Security Tools",15,0,0,7
"Defense Evasion",59,"Exfiltration Over Command and Control Channel",4,0,0,2
"Defense Evasion",59,"File Deletion",2,0,0,1
"Defense Evasion",59,"Hidden Files and Directories",2,0,0,1
"Defense Evasion",59,"Indicator Removal on Host",3,0,0,3
"Defense Evasion",59,Masquerading,1,0,0,1
"Defense Evasion",59,"Modify Existing Service",6,0,0,2
"Defense Evasion",59,"Modify Registry",2,0,0,2
"Defense Evasion",59,"New Service",7,0,0,2
"Defense Evasion",59,None,201,0,0,26
"Defense Evasion",59,"System Information Discovery",5,0,0,1
"Defense Evasion",59,"Valid Accounts",11,0,0,1
"Defense Evasion",59,"Web Service",2,0,0,1
Discovery,17,"Command-Line Interface",21,0,0,1
