"_time",trackerid,battery
"2016-11-11T13:59:59.000-0800","0d:d5:59:c9:70:b3",92
"2016-11-11T13:59:59.000-0800","e5:27:2d:b3:f5:79",77
"2016-11-11T13:59:59.000-0800","67:9d:17:91:cd:d7",55
"2016-11-11T13:59:59.000-0800","4f:cc:15:1b:10:0b",71
"2016-11-11T13:59:59.000-0800","9b:60:6a:44:52:58",98
"2016-11-11T13:59:58.000-0800","97:64:ef:3b:37:21",67
"2016-11-11T13:59:58.000-0800","ae:84:4d:01:b4:22",63
"2016-11-11T13:59:58.000-0800","6b:d1:4f:1c:d5:48",55
"2016-11-11T13:59:58.000-0800","7d:38:30:dc:f1:49",76
"2016-11-11T13:59:58.000-0800","31:22:d0:2c:8f:43",99
"2016-11-11T13:59:57.000-0800","4b:27:67:68:e8:6d",93
"2016-11-11T13:59:57.000-0800","a6:d4:be:06:9f:e4",65
"2016-11-11T13:59:57.000-0800","3f:80:93:cd:4f:eb",99
"2016-11-11T13:59:57.000-0800","b5:e5:02:32:b5:c0",95
"2016-11-11T13:59:57.000-0800","65:d4:b0:51:0f:db",95
"2016-11-11T13:59:56.000-0800","fe:fb:bc:da:77:e3",70
"2016-11-11T13:59:56.000-0800","4f:44:44:c9:4d:0a",96
"2016-11-11T13:59:56.000-0800","3c:23:20:ab:48:83",82
"2016-11-11T13:59:56.000-0800","fb:64:44:65:b5:48",90
"2016-11-11T13:59:56.000-0800","9e:a4:4e:2a:d1:6d",91
"2016-11-11T13:59:55.000-0800","95:3d:c7:0a:7c:2c",97
"2016-11-11T13:59:55.000-0800","20:f7:00:76:32:89",93
"2016-11-11T13:59:55.000-0800","c9:66:f2:87:2b:89",50
"2016-11-11T13:59:55.000-0800","c4:37:dd:f3:50:0d",95
"2016-11-11T13:59:55.000-0800","e3:5b:7a:e0:bf:e0",93
"2016-11-11T13:59:54.000-0800","5b:4a:4d:12:2f:fc",79
"2016-11-11T13:59:54.000-0800","ba:38:52:b5:11:74",55
"2016-11-11T13:59:54.000-0800","56:16:17:4c:c2:b6",98
"2016-11-11T13:59:54.000-0800","34:17:74:b4:ff:38",72
"2016-11-11T13:59:54.000-0800","c9:24:7d:0c:55:2c",84
"2016-11-11T13:59:53.000-0800","3e:96:fe:af:08:c9",76
"2016-11-11T13:59:53.000-0800","95:63:7a:a6:ae:82",97
"2016-11-11T13:59:53.000-0800","d6:30:da:6c:79:11",65
"2016-11-11T13:59:53.000-0800","2e:67:70:c2:60:75",87
"2016-11-11T13:59:53.000-0800","5f:56:5a:4f:2e:2b",72
"2016-11-11T13:59:52.000-0800","f5:09:f9:6a:0f:f4",52
"2016-11-11T13:59:52.000-0800","ba:71:0b:8a:ad:02",50
"2016-11-11T13:59:52.000-0800","9a:f0:6e:2a:d6:94",60
"2016-11-11T13:59:52.000-0800","c0:28:8f:fc:a6:5a",87
"2016-11-11T13:59:52.000-0800","7d:d8:59:84:52:ed",44
"2016-11-11T13:59:51.000-0800","a2:09:46:1d:c1:ea",46
"2016-11-11T13:59:51.000-0800","1a:31:2b:4b:49:30",46
"2016-11-11T13:59:51.000-0800","2a:d9:d4:78:ba:74",45
"2016-11-11T13:59:51.000-0800","b1:28:26:a2:63:44",53
"2016-11-11T13:59:51.000-0800","b8:4d:d8:4a:bd:74",65
"2016-11-11T13:59:50.000-0800","ef:21:50:6e:c5:f4",49
"2016-11-11T13:59:50.000-0800","4f:cc:15:1b:10:0b",62
"2016-11-11T13:59:50.000-0800","55:7a:ce:57:5c:06",99
"2016-11-11T13:59:50.000-0800","bc:dc:53:85:18:7f",44
"2016-11-11T13:59:50.000-0800","2e:e7:14:86:ce:52",68
"2016-11-11T13:59:49.000-0800","80:27:9d:70:36:99",97
"2016-11-11T13:59:49.000-0800","1e:ac:01:fa:64:59",75
"2016-11-11T13:59:49.000-0800","78:9f:28:fd:a7:1b",75
"2016-11-11T13:59:49.000-0800","13:86:d2:66:ec:0e",75
"2016-11-11T13:59:49.000-0800","e3:b0:6d:8b:59:89",72
"2016-11-11T13:59:48.000-0800","03:cf:04:6f:9c:ee",51
"2016-11-11T13:59:48.000-0800","ba:58:7d:70:16:bd",99
"2016-11-11T13:59:48.000-0800","d8:58:04:34:16:4a",78
"2016-11-11T13:59:48.000-0800","2f:59:d0:50:58:90",86
"2016-11-11T13:59:48.000-0800","a6:d5:3f:d4:4d:f2",77
"2016-11-11T13:59:47.000-0800","38:ab:86:f1:c7:2d",99
"2016-11-11T13:59:47.000-0800","b5:6c:1e:17:db:3a",60
"2016-11-11T13:59:47.000-0800","c8:0f:10:9c:1f:7b",88
"2016-11-11T13:59:47.000-0800","87:5a:0e:f8:16:12",66
"2016-11-11T13:59:47.000-0800","42:96:ac:a2:43:2b",88
"2016-11-11T13:59:46.000-0800","da:92:ae:34:a3:3b",83
"2016-11-11T13:59:46.000-0800","ae:e2:3c:ee:42:c2",74
"2016-11-11T13:59:46.000-0800","9a:77:48:9a:6c:d2",94
"2016-11-11T13:59:46.000-0800","b1:27:6f:f5:9c:86",43
"2016-11-11T13:59:46.000-0800","98:ae:ac:91:e0:60",88
"2016-11-11T13:59:45.000-0800","56:2f:c1:a6:8b:fb",70
"2016-11-11T13:59:45.000-0800","b9:25:2b:31:c9:51",51
"2016-11-11T13:59:45.000-0800","6c:22:ca:51:38:ae",65
"2016-11-11T13:59:45.000-0800","e3:5b:7a:e0:bf:e0",77
"2016-11-11T13:59:45.000-0800","2e:49:b6:71:e4:9e",70
"2016-11-11T13:59:44.000-0800","89:98:4f:26:c6:9d",51
"2016-11-11T13:59:44.000-0800","f9:ac:42:be:a3:b7",87
"2016-11-11T13:59:44.000-0800","c9:24:7d:0c:55:2c",61
"2016-11-11T13:59:44.000-0800","3a:9e:d0:13:e6:39",80
"2016-11-11T13:59:44.000-0800","1b:b9:79:e4:63:3f",58
"2016-11-11T13:59:43.000-0800","c9:35:03:e0:b0:2f",92
"2016-11-11T13:59:43.000-0800","f2:c3:2b:97:50:1d",88
"2016-11-11T13:59:43.000-0800","f6:d5:01:75:77:62",84
"2016-11-11T13:59:43.000-0800","6c:55:de:2f:78:1e",62
"2016-11-11T13:59:43.000-0800","74:51:37:c8:b0:d0",51
"2016-11-11T13:59:42.000-0800","99:ac:41:f9:72:92",60
"2016-11-11T13:59:42.000-0800","9e:08:d9:41:82:dd",95
"2016-11-11T13:59:42.000-0800","35:36:e4:20:b2:49",55
"2016-11-11T13:59:42.000-0800","b4:ca:04:8e:8f:03",89
"2016-11-11T13:59:42.000-0800","7c:3c:0c:87:1b:c4",81
"2016-11-11T13:59:41.000-0800","34:9f:3f:49:13:c6",49
